pressure,n_shaft,P_shaft,m_dot,eta_turbine,dH_is
410,3000.0,1851.8400770712908,0.0749679977086326,0.5786392768325851,3200.3359454064066
410,4000.0,850.7731958762886,0.0753077167572548,0.263323875562045,3230.900327820169
410,5000.0,523.8818565400843,0.075571555833927,0.16200200848638693,3233.798527776316
410,6000.0,268.27838827838826,0.07298571230233435,0.08694504612577948,3085.608671600243
410,7000.0,221.41304347826085,0.07379448039036267,0.071324369295461,3104.3112706830666
410,8000.0,194.26086956521738,0.07602592876577095,0.05975696191402376,3250.8491620560158
500,3000.0,2507.611111111111,0.0940046331997236,0.5615699156239559,4465.358704846081
500,4000.0,1741.9083969465648,0.09414923746069494,0.3908680547414787,4456.51256431961
500,5000.0,1560.511811023622,0.0941622844191223,0.3498397957682017,4460.646930109668
500,6000.0,1416.4285714285713,0.09253946330629761,0.3248739535515791,4359.932693722983
500,7000.0,1393.716577540107,0.09106286414401477,0.3281220228638801,4247.555727517515
500,8000.0,1873.3288409703505,0.09643701786842308,0.4087407995179416,4583.170662629486
570,3000.0,2838.269230769231,0.10300115074287716,0.5614404019680126,5055.334850894714
570,4000.0,2318.398058252427,0.1046996963808297,0.4444742335095766,5216.046023514825
570,5000.0,2731.9289340101523,0.1121458922171981,0.4776595150253248,5719.40649788021
570,6000.0,2786.121495327103,0.11211545537539777,0.48901697740286676,5697.39216442748
570,7000.0,2777.1052631578946,0.10838135940843548,0.5081425855179311,5465.208668404151
570,8000.0,2833.510638297872,0.10683547670620763,0.5281704755827845,5364.765296983649
